Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Gender	Age	Phases	Enrollment	Study Type	Start Date	Locations	URL
75	NCT03730454	Transanastomotic Tube for Proximal Esophageal Atresia With Distal Tracheoesophageal Fistula Repair	Recruiting	No Results Available	Esophageal Atresia|Tracheoesophageal Fistula	Device: Transanastomotic Tube (5FR)|Other: No Transanastomotic Tube	All	up to 6 Months   (Child)	Phase 4	150	Interventional	May 11, 2018	Phoenix Children's Hospital, Phoenix, Arizona, United States|Children's Hospital Los Angeles, Los Angeles, California, United States|Rady Children's Hospital, San Diego, California, United States|Benioff Children's Hospital, San Francisco, California, United States|Lucile Packard Children's Hospital, Stanford, California, United States|Children's Hospital Colorado, Aurora, Colorado, United States|Doernbecher Children's Hospital, Portland, Oregon, United States|Primary Children's Hospital, Salt Lake City, Utah, United States|Seattle Children's Hospital, Seattle, Washington, United States	https://ClinicalTrials.gov/show/NCT03730454
76	NCT03729687	Short Course Radiation Therapy Followed by Pre-operative Chemotherapy and Surgery in High-risk Rectal Cancer	Recruiting	No Results Available	Rectal Cancer	Combination Product: radiotherapy, capecitabine, oxaliplatin	All	18 Years and older   (Adult, Older Adult)	Phase 2	100	Interventional	July 4, 2016	Akademiska sjukhuset, Uppsala, Sweden	https://ClinicalTrials.gov/show/NCT03729687
77	NCT03729648	Expressive Arts-based Intervention for Young and Pre-elderly Stroke Survivors	Recruiting	No Results Available	Stroke	Behavioral: Expressive Arts Therapy	All	18 Years to 64 Years   (Adult)	Not Applicable	154	Interventional	September 1, 2017	Centre on Behavioral Health HKU, Hong Kong, Hong Kong	https://ClinicalTrials.gov/show/NCT03729648
78	NCT03729297	Cabozantinib in Advanced Salivary Gland Cancer Patients	Recruiting	No Results Available	Salivary Gland Cancer	Drug: Cabozantinib	All	18 Years and older   (Adult, Older Adult)	Phase 2	43	Interventional	September 5, 2018	Radboudumc, Nijmegen, Gelderland, Netherlands	https://ClinicalTrials.gov/show/NCT03729297
79	NCT03727321	FMT and Fiber in Patients With Metabolic Syndrome	Recruiting	No Results Available	Obesity|Metabolic Syndrome	Combination Product: Fecal Microbial Transplant|Dietary Supplement: Fiber|Dietary Supplement: Cellulose	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 2	68	Interventional	July 1, 2018	Royal Alexandra Hospital, Edmonton, Alberta, Canada|University of Alberta Hospital, Edmonton, Alberta, Canada	https://ClinicalTrials.gov/show/NCT03727321
80	NCT03725215	Motor Adaptation to Split-Belt Treadmill in Parkinson's Disease	Recruiting	No Results Available	Parkinson Disease|Freezing of Gait	Behavioral: Split-Belt Treadmill Training	All	18 Years and older   (Adult, Older Adult)	Not Applicable	128	Interventional	December 1, 2017	Faculty of Movement and Rehabilitation Sciences (FaBeR), Leuven, Belgium|University Hospital Schleswig-Holstein, Kiel, Germany	https://ClinicalTrials.gov/show/NCT03725215
81	NCT03724383	Atrial Fibrillation Lifestyle Project	Recruiting	No Results Available	Atrial Fibrillation Paroxysmal	Behavioral: Risk Factor Management Consult|Behavioral: Diet Classes|Behavioral: Stress Management Classes|Other: Exercise Classes|Other: Home based exercise program	All	19 Years to 75 Years   (Adult, Older Adult)	Not Applicable	80	Interventional	September 6, 2018	Richmond Hospital Cardiac Rehabilitation, Richmond, British Columbia, Canada|Richmond Health Services, Richmond, British Columbia, Canada|Garratt Wellness Centre, Richmond, British Columbia, Canada|Richmond Cardiology Clinic, Richmond, British Columbia, Canada|Gordon and Leslie Diamond Health Care Centre, Vancouver, British Columbia, Canada|Live Well Clinic, Vancouver, British Columbia, Canada|St. Paul's Healthy Heart Program, Vancouver, British Columbia, Canada	https://ClinicalTrials.gov/show/NCT03724383
82	NCT03723525	Package of Care to Improve Retention in ART and Mortality Among Treatment Naive HIV Infected Individuals	Recruiting	No Results Available	HIV	Combination Product: Package of HIV care|Combination Product: Standard HIV care	All	16 Years and older   (Child, Adult, Older Adult)	Phase 4	1000	Interventional	March 1, 2018	Sukraraj Tropical & Infectious Disease Control Hospital, Kathmandu, Bagmati, Nepal|Bharatpur District Hospital, Bharatpur, Nepal|Rapti Sub Regional Hospital, Dang, Nepal|Seti Zonal Hospital, Kailālī, Nepal|Tikapur Hospital, Kailālī, Nepal|Mahakali Zonal Hospital, Kanchanpur, Nepal|National Academy of Medical Science (NAMS), Bir Hospital, Kathmandu, Nepal|Tribhuvan University Teaching Hospital, Kathmandu, Nepal|Western Regional Hospital, Pokhara, Nepal|B.P. Koirala Institute of Health Sciences, Sunsari, Nepal	https://ClinicalTrials.gov/show/NCT03723525
83	NCT03719235	Accuracy of Linear Measurements of Ultra-low Dose Cone Beam Computed Tomography and Digital Panoramic Radiography	Recruiting	No Results Available	Cone Beam Computed Tomography	Other: CBCT	All	10 Years to 70 Years   (Child, Adult, Older Adult)	Not Applicable	10	Interventional	July 10, 2018	Cairo University, Cairo, Egypt	https://ClinicalTrials.gov/show/NCT03719235
84	NCT03716219	The Effect of 10-Week Exercise Training on Children With Asthma	Recruiting	No Results Available	Asthma in Children	Other: Exercise Training	All	8 Years to 35 Years   (Child, Adult)	Not Applicable	42	Interventional	October 10, 2013	Pediatric Exercise and Genomics Research Center, University of California, Irvine, Irvine, California, United States	https://ClinicalTrials.gov/show/NCT03716219
85	NCT03714139	Immediate Loading a Histological Study	Enrolling by invitation	No Results Available	Edentulous Alveolar Ridge	Procedure: immediate loading|Procedure: non implant loading	All	25 Years to 70 Years   (Adult, Older Adult)	Not Applicable	12	Interventional	March 3, 2018	Colombia, Cartagena de Indias, Cartagena, Colombia	https://ClinicalTrials.gov/show/NCT03714139
86	NCT03711630	Impact of Meditation on Bothersome Tinnitus	Recruiting	No Results Available	Tinnitus|Noise Induced Tinnitus|Tinnitus, Subjective|Tinnitus, Objective|Tinnitus Aggravated|Tinnitus, Pulsatile|Tinnitus, Spontaneous Oto-Acoustic Emission|Tinnitus, Clicking|Tinnitus, Tensor Tympani Induced	Behavioral: Meditation	All	18 Years and older   (Adult, Older Adult)	Not Applicable	40	Interventional	October 6, 2018	University at Buffalo, Buffalo, New York, United States	https://ClinicalTrials.gov/show/NCT03711630
87	NCT03711370	Opaque Bottle Study	Recruiting	No Results Available	Opaque Bottles|Conventional, Clear Bottles	Other: Clear Bottle|Other: Opaque Bottle	All	up to 8 Weeks   (Child)	Not Applicable	100	Interventional	October 15, 2018	Healthy Kids Laboratory within the French Hospital Copeland Health Education Pavilion, San Luis Obispo, California, United States	https://ClinicalTrials.gov/show/NCT03711370
88	NCT03709979	Effect Of Position On Laryngeal Visualisation With The C-Mac Videolaryngoscope	Enrolling by invitation	No Results Available	Anesthesia|Intubation|Laryngoscopy	Device: C-MAC videolaryngoscope	All	up to 24 Months   (Child)	Not Applicable	96	Interventional	January 21, 2019	Turgut Ozal Medical Center, Malatya, Turkey	https://ClinicalTrials.gov/show/NCT03709979
89	NCT03704415	Aggravated Airway Inflammation: Research on Genomics and Optimal Operative Treatment (AirGOs Operative)	Recruiting	No Results Available	Sinusitis, Chronic|Asthma|Nasal Polyps|Aspirin Sensitivity	Procedure: Extended endoscopic sinus surgery|Procedure: Limited endoscopic sinus surgery	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	174	Interventional	October 23, 2018	Department of Otorhinolaryngology, Helsinki University Hospital, Helsinki, Finland|Kuopio University Hospital, Kuopio, Finland	https://ClinicalTrials.gov/show/NCT03704415
90	NCT03704064	Behavioral Weight Loss and Stigma Reduction	Recruiting	No Results Available	Obesity	Behavioral: Stigma-Reduction Intervention|Behavioral: Behavioral Weight Loss (BWL)	All	18 Years and older   (Adult, Older Adult)	Not Applicable	104	Interventional	October 16, 2018	The University of Pennsylvania Center for Weight and Eating Disorders, Philadelphia, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03704064
91	NCT03704051	Breast Versus Bottle Study	Recruiting	No Results Available	Breastfeeding|Bottle Feeding	Behavioral: Mode of Feeding (breastfeeding versus bottle-feeding	All	up to 24 Weeks   (Child)	Not Applicable	40	Interventional	October 15, 2018	Healthy Kids Laboratory within the French Hospital Copeland Health Education Pavilion, San Luis Obispo, California, United States	https://ClinicalTrials.gov/show/NCT03704051
92	NCT03699059	The wEight Management in Renal Transplant Online Study (ExeRTiOn)	Recruiting	No Results Available	Kidney Transplant; Complications|Obesity|Physical Activity|Weight Gain|Health Behavior	Other: ExeRTiOn	All	18 Years and older   (Adult, Older Adult)	Not Applicable	15	Interventional	May 31, 2018	King's College Hospital, London, United Kingdom	https://ClinicalTrials.gov/show/NCT03699059
93	NCT03697837	Digital Parent Training for Disruptive Behaviors in Children	Recruiting	No Results Available	Disruptive Behavior|Aggression Childhood|Anger|Non-Compliance, Patient|Irritable Mood	Behavioral: Parent Management Training	All	3 Years to 9 Years   (Child)	Not Applicable	32	Interventional	September 18, 2018	Yale Child Study Center, New Haven, Connecticut, United States	https://ClinicalTrials.gov/show/NCT03697837
94	NCT03695003	Cognitive Effects of Sage in Healthy Humans	Recruiting	No Results Available	Cognitive Change|Mood Change	Dietary Supplement: Cognivia|Dietary Supplement: Placebo	All	30 Years to 60 Years   (Adult)	Not Applicable	90	Interventional	September 3, 2018	Brain Performance and Nutrition Research Centre, Newcastle Upon Tyne, Tyne And Wear, United Kingdom	https://ClinicalTrials.gov/show/NCT03695003
95	NCT03690154	Study to Evaluate the Safety, Tolerability, Pharmacokinetics (PK) and Anti-tumor Activity of FN-1501 Monotherapy in Patients With Advanced Solid Tumors	Recruiting	No Results Available	Advanced Cancer|Solid Tumor	Drug: FN-1501	All	18 Years and older   (Adult, Older Adult)	Phase 1	33	Interventional	July 23, 2018	KUMC Cancer Center, Fairway, Kansas, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|Cabrini Malvern Hospital, Malvern, Victoria, Australia	https://ClinicalTrials.gov/show/NCT03690154
96	NCT03689348	Acute and Chronic Effects of Avena Sativa on Cognition and Stress	Recruiting	No Results Available	Cognitive Change|Stress, Psychological|Mood	Dietary Supplement: Avena sativa|Dietary Supplement: Placebo	All	35 Years to 65 Years   (Adult, Older Adult)	Not Applicable	128	Interventional	September 24, 2018	Northumbria University, Newcastle Upon Tyne, United Kingdom	https://ClinicalTrials.gov/show/NCT03689348
97	NCT03689049	SPIDER: A Research & QI Collaboration Supporting Practices in Improving Care for Complex Elderly Patients	Enrolling by invitation	No Results Available	Polypharmacy|Inappropriate Prescribing|Aged|Primary Health Care|Quality Improvement|Electronic Health Records	Procedure: SPIDER|Procedure: Usual Care	All	65 Years and older   (Older Adult)	Not Applicable	104	Interventional	March 26, 2018	Southern Alberta Primary Care Research Network (SAPCReN), Calgary, Alberta, Canada|Northern Alberta Primary Care Research Network (NAPCReN), Edmonton, Alberta, Canada|Manitoba Primary Care Research Network (MaPCReN), Winnipeg, Manitoba, Canada|Maritime Family Practice Research Network (MaRNet-FP), Halifax, Nova Scotia, Canada|Ottawa Practice Enhancement Network (OPEN ), Ottawa, Ontario, Canada|University of Toronto Practice Based Research Network, Toronto, Ontario, Canada|Réseau de recherche en soins primaires de l'Université de Montréal (RRSPUM), Laval, Quebec, Canada	https://ClinicalTrials.gov/show/NCT03689049
98	NCT03687411	An Ultrasound Guided Automated Spinal Landmark Identification With Real-time Neuraxial Needle Insertion System	Recruiting	No Results Available	Spinal Anaesthesia|Obesity	Procedure: Neuraxial ultrasonography	Female	21 Years to 75 Years   (Adult, Older Adult)	Not Applicable	70	Interventional	May 24, 2018	KK Women's and Children's Hospital, Singapore, Singapore	https://ClinicalTrials.gov/show/NCT03687411
99	NCT03685227	A Closer Look at Yoga Nidra: Sleep Lab Analyses	Recruiting	No Results Available	Electroencephalography|Electrocardiography|Respiratory Rate|Surveys and Questionnaires	Other: Yoga Nidra	All	18 Years to 45 Years   (Adult)	Not Applicable	22	Interventional	September 10, 2018	National University of Natural Medicine, Helfgott Research Institute, Portland, Oregon, United States	https://ClinicalTrials.gov/show/NCT03685227
100	NCT03682601	Topical Treatment for Sexual Pain, Vulvar Pain, in Postmenopausal Women Not Taking Estrogens or Similiar Hormones. Women on Tamoxifen CAN Enter the Clinical Trial	Recruiting	No Results Available	Sexual Pain Disorders|Postmenopausal Symptoms|Vulvovaginal Atrophy|Female Sexual Dysfunction|Dyspareunia|Vulvodynia|Vestibulodynia|Arousal Disorders, Sexual	Drug: Sinecatechins Topical|Other: Placebo	Female	20 Years to 70 Years   (Adult, Older Adult)	Phase 4	60	Interventional	August 30, 2018	Lila Nachtigall, M.D., New York, New York, United States	https://ClinicalTrials.gov/show/NCT03682601
101	NCT03680833	Sentinel Node Detection in Cervical Cancer	Recruiting	No Results Available	Sentinel Lymph Node Biopsy	Procedure: Sentinel node detection in cervical cancer	Female	18 Years to 80 Years   (Adult, Older Adult)	Not Applicable	226	Interventional	June 15, 2014	Department of Gynecology and Obstetrics, Lund, Sweden	https://ClinicalTrials.gov/show/NCT03680833
102	NCT03679689	Metabolism Effects of Artificially Sweetened Beverages Restriction	Recruiting	No Results Available	Overweight and Obesity	Dietary Supplement: artificially sweetened beverages	All	19 Years to 27 Years   (Adult)	Not Applicable	45	Interventional	February 1, 2017	Universidad Veracruzana, Xalapa, Veracruz, Mexico	https://ClinicalTrials.gov/show/NCT03679689
103	NCT03678935	Effect of FODMAP Restriction on Persistent GI-symptoms in Coeliac Patients	Recruiting	No Results Available	Celiac Disease|Irritable Bowel Syndrome|Diet Modification|Gluten Sensitivity	Other: Low FODMAP diet	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	72	Interventional	November 26, 2018	Rikshospitalet-Radiumhospitalet HF, Oslo University Hospital, Oslo, Postboks PB 4950 Nydalen, Norway	https://ClinicalTrials.gov/show/NCT03678935
104	NCT03675009	Milwaukee Day Cares Indoor Air Quality Assessment and Educational Response Study	Recruiting	No Results Available	Pollution; Exposure	Other: Educational Programming	All	18 Years and older   (Adult, Older Adult)	Not Applicable	32	Interventional	April 1, 2018	Medical College of Wisconsin, Milwaukee, Wisconsin, United States	https://ClinicalTrials.gov/show/NCT03675009
105	NCT03674996	Safety and Security Evaluation of Patients Submitted to Minimally Invasive Radical Prostatectomy	Enrolling by invitation	No Results Available	Prostate Cancer	Other: Same day discharge|Other: Next-day discharge|Other: 2-days discharge	Male	40 Years to 75 Years   (Adult, Older Adult)	Not Applicable	72	Interventional	March 22, 2017	Nucleo de Apoio ao Pesquisador, Barretos, Sao Paulo, Brazil	https://ClinicalTrials.gov/show/NCT03674996
106	NCT03668873	Telehealth Delivery of Treatment for Sleep Disturbances in Young Children With Autism Spectrum Disorder	Recruiting	No Results Available	Autism Spectrum Disorder|Sleep Disturbance	Behavioral: Sleep Parent Training|Behavioral: Sleep Parent Education	All	2 Years to 7 Years   (Child)	Not Applicable	90	Interventional	January 1, 2019	Cleveland Clinic Lerner School for Autism, Cleveland, Ohio, United States	https://ClinicalTrials.gov/show/NCT03668873
107	NCT03667755	Fast Track Recovery Surgery Among Gynecologic Oncology Patients	Recruiting	No Results Available	Fast Track Recovery Surgery	Procedure: fast track recovery surgery with whey protein infused carbohydrate loading and early oral feeding	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	106	Interventional	October 3, 2017	National Cancer Institute, Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia	https://ClinicalTrials.gov/show/NCT03667755
108	NCT03667001	Comparing Analgesic Efficacy of Systemic Lidocaine Against Placebo in General Anesthesia in Bariatric Surgery	Recruiting	No Results Available	Pain, Postoperative	Drug: Lidocaine Hydrochloride|Drug: Saline Solution	All	18 Years to 80 Years   (Adult, Older Adult)	Phase 3	140	Interventional	November 16, 2018	Cantonal Hospital of St. Gallen, St. Gallen, Switzerland	https://ClinicalTrials.gov/show/NCT03667001
109	NCT03663075	Effect of Group Education and Individual Counselling on Mental Health and Quality of Life in 45-60 Year Old Women	Recruiting	No Results Available	Women's Health|Quality of Life|Mental Health|Menopause|Primary Health Care|Sick Leave	Behavioral: Group information (GI)|Behavioral: Structured person-centered support (PCS)	Female	40 Years to 60 Years   (Adult)	Not Applicable	370	Interventional	September 24, 2018	Research and Development Unit, Boras, Vastra Gotaland, Sweden	https://ClinicalTrials.gov/show/NCT03663075
110	NCT03658434	Palliative Radiotherapy to Dominant Symptomatic Lesion in Patients With Hormone Refractory Prostate Cancer	Recruiting	No Results Available	Hormone-refractory Prostate Cancer	Radiation: Palliative radiotherapy	Male	18 Years and older   (Adult, Older Adult)	Not Applicable	34	Interventional	August 1, 2018	Dep. Radiation Oncology, Zealand University Hospital, Næstved, Sjaelland, Denmark|University Hospital Schleswig-Holstein, Kiel, Schleswig-Holstein, Germany|University Hospital Schleswig-Holstein, Lubeck, Schleswig-Holstein, Germany	https://ClinicalTrials.gov/show/NCT03658434
111	NCT03654508	Pharmacogenetics Use For Further Treatment Improvement in childreN	Recruiting	No Results Available	Asthma in Children	Genetic: ADRB2-genotype guided treatment|Other: Randomisation	All	6 Years to 17 Years   (Child)	Not Applicable	310	Interventional	June 12, 2018	Medisch Centrum Leeuwarden, Leeuwarden, Friesland, Netherlands|Rijnstate, Arnhem, Gelderland, Netherlands|RadboudUMC, Nijmegen, Gelderland, Netherlands|Canisius Wilhelmina Ziekenhuis, Nijmegen, Gelderland, Netherlands|Zuyderland Medisch Centrum, Sittard, Limburg, Netherlands|Amphia ziekenhuis, Breda, Noord-Brabant, Netherlands|Catharina ziekenhuis, Eindhoven, Noord-Brabant, Netherlands|Academic Medical Center, Department of Respiratory Disease, Amsterdam-Zuidoost, Noord-Holland, Netherlands|VUmc locatie Boelelaan, Amsterdam, Noord-Holland, Netherlands|VUmc locatie Louwesweg, Amsterdam, Noord-Holland, Netherlands|Spaarne Gasthuis, Hoofddorp, Noord-Holland, Netherlands|Medisch Spectrum Twente, Enschede, Twente, Netherlands|Reinier de Graaf Gasthuis, Delft, Zuid-Holland, Netherlands|Haga ziekenhuis, Den Haag, Zuid-Holland, Netherlands|Erasmus Medical Center, Rotterdam, Zuid-Holland, Netherlands|Maasstadziekenhuis, Rotterdam, Zuid-Holland, Netherlands|University Medical Center Groningen, Groningen, Netherlands|Martini ziekenhuis, Groningen, Netherlands|Tergooi ziekenhuis, Hilversum, Netherlands	https://ClinicalTrials.gov/show/NCT03654508
112	NCT03648437	Paracetamol And Ibuprofen in Closing Patent Ductus Arteriosus	Recruiting	No Results Available	Patent Ductus Arteriosus	Drug: Paracetamol 10Mg/mL|Drug: 0.45% Sodium Chloride|Drug: Ibuprofen	All	up to 4 Months   (Child)	Phase 1	20	Interventional	September 3, 2018	Department of Pediatrics, Oulu University Hospital, Oulu, Finland	https://ClinicalTrials.gov/show/NCT03648437
113	NCT03648060	Efficacy of a Digital Biofeedback System for Home-based Rehabilitation After Total Joint Replacement	Recruiting	No Results Available	Hip Osteoarthritis|Knee Osteoarthritis	Device: Digital kinematic biofeedback system	All	18 Years and older   (Adult, Older Adult)	Not Applicable	160	Interventional	October 8, 2018	Hospital da Prelada, Porto, Portugal	https://ClinicalTrials.gov/show/NCT03648060
114	NCT03648047	Digital Biofeedback System Versus Conventional Rehabilitation After Rotator Cuff Repair	Recruiting	No Results Available	Rotator Cuff Tear	Device: Digital kinematic biofeedback device|Other: Conventional rehabilitation|Other: Additional face-to-face rehabilitation sessions	All	18 Years and older   (Adult, Older Adult)	Not Applicable	80	Interventional	November 11, 2018	Hospital da Prelada, Porto, Portugal	https://ClinicalTrials.gov/show/NCT03648047
115	NCT03647007	Short- and Long-term Health Effects of a Residential Stay in a Danish Christmas Seal Home.	Recruiting	No Results Available	Overweight	Other: FIFA 11 for health	All	7 Years to 14 Years   (Child)	Not Applicable	600	Interventional	September 11, 2018	Skælskør Julemærkehjem, Skælskør, Region Sjælland, Denmark|Kildemose Julemærkehjem, Ølsted, Region Sjælland, Denmark	https://ClinicalTrials.gov/show/NCT03647007
116	NCT03646357	BEtablocker Treatment After Acute Myocardial Infarction in Patients Without Reduced Left Ventricular Systolic Function	Recruiting	No Results Available	Acute Myocardial Infarction|Non-ST Elevation Myocardial Infarction|ST Elevation Myocardial Infarction	Other: Non-betablocker|Drug: Betablocker	All	18 Years and older   (Adult, Older Adult)	Phase 4	10000	Interventional	October 1, 2018	Sørlandet Sykehus, Arendal, Norway|Drammen Hospital, Drammen, Norway|AHUS, Lørenskog, Norway|Vestfold hospital, Tønsberg, Norway	https://ClinicalTrials.gov/show/NCT03646357
117	NCT03646240	ABI-009 (Nab-rapamycin) for Surgically-Refractory Epilepsy (RaSuRE)	Recruiting	No Results Available	Epilepsy Intractable	Drug: ABI-009	All	3 Years to 26 Years   (Child, Adult)	Phase 1	18	Interventional	July 31, 2018	Seattle Children's Hospital, Seattle, Washington, United States	https://ClinicalTrials.gov/show/NCT03646240
118	NCT03645603	Efficacy and Safety of Dexmedetomidine During Weaning From Analgesia and Sedation in PICU (TIP-15-01)	Recruiting	No Results Available	Withdrawal Syndrome	Drug: Dexmedetomidine|Drug: Placebo	All	up to 18 Years   (Child, Adult)	Phase 2	160	Interventional	August 30, 2018	PICU Policlinico S.Orsola-Malpighi, Bologna, Italy	https://ClinicalTrials.gov/show/NCT03645603
119	NCT03645005	A Research Study for Latina Women After Breast Cancer Treatment	Recruiting	No Results Available	Cancer-related Problem/Condition|Quality of Life|Stress, Emotional	Behavioral: "My Guide" (psychoeducation & self-management program)|Behavioral: "My Health" (health education program)	Female	21 Years and older   (Adult, Older Adult)	Not Applicable	80	Interventional	March 25, 2015	University of Illinois Cancer Center, Chicago, Illinois, United States|Northwestern University, Chicago, Illinois, United States	https://ClinicalTrials.gov/show/NCT03645005
120	NCT03642769	Lactated Ringer's Versus Normal Saline for Acute Pancreatitis	Recruiting	No Results Available	Pancreatitis, Acute	Other: Fluid administration	All	18 Years and older   (Adult, Older Adult)	Not Applicable	119	Interventional	September 18, 2018	LAC+USC Medical Center, Los Angeles, California, United States	https://ClinicalTrials.gov/show/NCT03642769
121	NCT03638609	The Effect of IABP Early Insertion on Mortality in Post Cardiac Arrest Patients With Acute Coronary Syndrome	Recruiting	No Results Available	Post-Cardiac Arrest Syndrome	Device: Intra Aortic Balloon Pump	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	102	Interventional	October 23, 2017	National Cradiovascular Center Harapan Kita Hospital, Jakarta, Indonesia	https://ClinicalTrials.gov/show/NCT03638609
122	NCT03635840	The Effects of IABP Prior to Revascularization on Mortality of ACS Patients Complicated With Cardiogenic Shock	Recruiting	No Results Available	Cardiogenic Shock	Device: Intra Aortic Balloon Pump	All	18 Years to 80 Years   (Adult, Older Adult)	Not Applicable	92	Interventional	January 4, 2018	National Cradiovascular Center Harapan Kita Hospital, Jakarta, Indonesia	https://ClinicalTrials.gov/show/NCT03635840
123	NCT03632837	HaemoAdsorption Nach Reanimation An ECMO	Recruiting	No Results Available	Cardiac Arrest|Resuscitation|Inflammation|Multi-Organ Disorder	Device: Hemoadsorption	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	40	Interventional	October 2018	University Hospital Hamburg-Eppendorf, Hamburg, Germany	https://ClinicalTrials.gov/show/NCT03632837
124	NCT03630770	Effect of Medium Chain Triglyceride Intake on Colonization of Preterm Infants With Candida	Recruiting	No Results Available	Candida Infection|Premature Infant	Drug: Medium-Chain Triglyceride (MCT) Oil	All	up to 6 Months   (Child)	Phase 1	120	Interventional	June 5, 2014	Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States	https://ClinicalTrials.gov/show/NCT03630770
125	NCT03630328	Angelica Gigas Dietary Supplements and Human Immune Cells	Recruiting	No Results Available	Innate Immune Cells	Dietary Supplement: Cogni.Q|Other: Placebo	Male	21 Years to 65 Years   (Adult, Older Adult)	Not Applicable	40	Interventional	August 2018	Penn State College of Medicine, Hershey, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03630328
126	NCT03628001	A Study Comparing Sems Placement With and and Without Biliary Sphincterectomy in Patients With Malignant Biliary Obstruction	Enrolling by invitation	No Results Available	Bile Duct Obstruction	Procedure: ERCP	All	18 Years and older   (Adult, Older Adult)	Not Applicable	400	Interventional	January 1, 2015		https://ClinicalTrials.gov/show/NCT03628001
127	NCT03625544	MagnetOs™ Granules vs. Autograft in Instrumented Posterolateral Spinal Fusion	Recruiting	No Results Available	Spinal Fusion	Procedure: Instrumented posterolateral spinal fusion|Device: MagnetOs™ Granules|Procedure: Autologous bone graft	All	18 Years to 80 Years   (Adult, Older Adult)	Not Applicable	100	Interventional	July 4, 2018	Onze Lieve Vrouwe Gasthuis, Amsterdam, Netherlands|Rijnstate Hospital, Arnhem, Netherlands|Amphia Hospital, Breda, Netherlands|St. Antonius Hospital, Nieuwegein, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands	https://ClinicalTrials.gov/show/NCT03625544
128	NCT03623880	Enhancing Behavioral Treatment for Women With Pelvic Floor Disorders	Recruiting	No Results Available	Pelvic Floor Disorders|Anxiety|Urinary Urgency|Urinary Incontinence|Nocturia|Urinary Frequency/Urgency|Lower Urinary Tract Symptoms|Urinary Hesitancy|Urinary Straining	Behavioral: Unified Protocol|Behavioral: Supportive Therapy	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	40	Interventional	September 3, 2018	Northwestern University, Chicago, Illinois, United States	https://ClinicalTrials.gov/show/NCT03623880
129	NCT03620942	Development of Advanced Double Intravenous Vasopressor Automated (ADIVA) System	Recruiting	No Results Available	Hypotension|Anesthesia	Drug: Phenylephrine|Drug: Ephedrine|Device: ADIVA System|Device: DIVA System	Female	21 Years to 50 Years   (Adult)	Not Applicable	300	Interventional	November 7, 2018	KK Women's and Children's Hospital, Singapore, Singapore	https://ClinicalTrials.gov/show/NCT03620942
130	NCT03619720	Emotional Perception and Production in Facial Palsy: Respiratory, Vocal and Facial Markers.	Recruiting	No Results Available	Facial Palsy	Other: Records	All	18 Years and older   (Adult, Older Adult)	Not Applicable	60	Interventional	August 11, 2018	Laboratoire de Physiopathologie Respiratoire du Service de Pneumologie et de Réanimation, Paris, France	https://ClinicalTrials.gov/show/NCT03619720
131	NCT03618108	Anti-chlamydophila Antibiotic Combination Therapy in the Treatment of Patients With Coronary Heart Disease	Recruiting	No Results Available	Coronary Heart Disease|Chlamydophila Pneumoniae Infections	Drug: Doxycycline Capsule|Drug: Azithromycin Capsule|Drug: Rifabutin Oral Capsule|Drug: Placebo oral capsule|Drug: Placebo Oral Tablet	All	18 Years to 80 Years   (Adult, Older Adult)	Phase 2	60	Interventional	April 4, 2018	Liverpool hospital, Liverpool, New South Wales, Australia	https://ClinicalTrials.gov/show/NCT03618108
132	NCT03618017	The ConnectedCancerCare Pilot Study (CCC)	Enrolling by invitation	No Results Available	Early-stage Breast Cancer|Breast Cancer Female|Survivorship|Cancer Survivors|Transitional Care	Behavioral: CCC website|Behavioral: Static care plan	Female	21 Years to 84 Years   (Adult, Older Adult)	Not Applicable	60	Interventional	August 1, 2018	The University of Michigan Rogel Cancer Center, Ann Arbor, Michigan, United States	https://ClinicalTrials.gov/show/NCT03618017
133	NCT03615586	The Use of Chaperone in Routine Anorectal Examination	Recruiting	No Results Available	Exanimation	Other: With Chaperone|Other: Without Chaperone	Female	18 Years to 85 Years   (Adult, Older Adult)	Not Applicable	188	Interventional	July 26, 2018	Hospital de Clinicas de Porto Alegre, Porto Alegre, RS, Brazil	https://ClinicalTrials.gov/show/NCT03615586
134	NCT03602768	Evaluation of the Online Memory & Aging Program and Online Goal Management Training	Recruiting	No Results Available	Aging|Cognitive Decline	Behavioral: Goal Management Training|Behavioral: Memory & Aging Program|Behavioral: BrainHQ	All	60 Years and older   (Adult, Older Adult)	Not Applicable	200	Interventional	June 18, 2018	Baycrest Health Sciences, Toronto, Ontario, Canada	https://ClinicalTrials.gov/show/NCT03602768
