NCT03769298	"Drug: Envarsus XR	"
NCT03289858	"Drug: Exparel	Drug: Sodium Chloride	"
NCT03286374	"Behavioral: Occupational rehabilitation	"
NCT03283943	"Radiation: Focal radiotherapy	Drug: Durvalumab	"
NCT03275571	"Behavioral: cCBT intervention	"
NCT03269071	"Drug: human fetal-derived Neural Stem Cells (hNSCs)	"
NCT03268213	"Biological: Fecal Microbial Transplantation	"
NCT03267420	"Diagnostic Test: BpTRU First, Unattended Omron Second	Diagnostic Test: Unattended Omron First, BpTRU Second	Diagnostic Test: Partially Attended Omron First, Unattended Omron Second	"
NCT03267238	"Biological: Fecal Microbial Transplantation	"
NCT03263780	"Drug: 18F-Fluciclovine	"
NCT03263156	"Behavioral: Sleep hygiene practices and behavioural intervention	"
NCT03256396	"Procedure: PEEP setting based on esophageal pressure measured	"
NCT03254589	"Drug: Methotrexate	Drug: Sulfasalazine	Drug: Other DMARDs	"
NCT03251495	"Drug: Vaxchora	"
NCT03248518	"Behavioral: Usual Care	Behavioral: Cognitive behavioural approach	Behavioral: Personalised Exercise Programme	"
NCT03243539	"Procedure: Lung Protective Ventilation	"
NCT03241511	"Other: Test	"
NCT03237468	"Other: Neck strengthening exercise to prevent concussion	"
NCT03229538	"Drug: Methylprednisolone	Drug: Isotonic saline	"
NCT03229486	"Drug: Sugammadex Injection [Bridion]	Drug: Neostigmine+Glycopyrronium	"
NCT03227809	"Behavioral: Handbook condition	Behavioral: Handbook plus condition	"
NCT03227770	"Device: hemoperfusion combined with hemodialysis	Device: hemodialysis	"
NCT03212859	"Behavioral: Coach2Move	Behavioral: Usual Care	"
NCT03205956	"Drug: Levodopa	"
NCT03196193	"Procedure: Open Reduction and Internal Fixation	Device: ZNN CM Asia	Device: Anterior Support Screw	"
NCT03193333	"Drug: PRO-122	Drug: Timolol eye drops	Drug: Dorzolamide-Timolol Ophthalmic	Drug: Brimonidine Ophthalmic Solution	Other: Placebo1	Other: Placebo 2	Drug: Krytantek	"
NCT03191071	"Diagnostic Test: UltraPro	Diagnostic Test: Procalcitonin	Diagnostic Test: Blood sampling	Diagnostic Test: Naso-pharyngeal swab and sputum culture	"
NCT03168724	"Behavioral: GMT intervention	"
NCT03167723	"Device: Chest tube placement	"
NCT03167307	"Drug: Omega 3 fatty acid	Drug: Placebo oil	"
NCT03128021	"Drug: Escitalopram Pill	Other: Placebo	Drug: Levomilnacipran Pill	"
NCT03116139	"Diagnostic Test: V/Q imaging	Diagnostic Test: Computed tomography scan	"
NCT03110744	"Drug: Palbociclib	"
NCT03100526	"Behavioral: PACT Intensive Management	"
NCT03044613	"Drug: Nivolumab	Drug: Relatlimab	Drug: Carboplatin	Drug: Paclitaxel	Radiation: Radiation	"
NCT03036345	"Device: Dual-monitoring	"
NCT03026816	"Device: Epidural Spinal Cord Stimulation	"
NCT03007511	"Device: Fidmi enhanced enteral feeding device	"
NCT02996565	"Other: Best Practice Clinic-Based Care	Other: Telehealth Care	"
NCT02995733	"Drug: PARTICS using QVAR	"
NCT02993432	"Device: Foley catheter filled to 80cc	Drug: prostaglandin of the clinician's choice	"
NCT02990429	"Procedure: Forced Air warmer	Procedure: Intravenous Fluid Warmer	"
NCT02978950	"Other: Duplex ultrasound surveillance	Other: No ultrasound surveillance	"
NCT02959697	"Drug: Subcut. + Subconj. Xylocaine	Drug: Subcut. + Sham Subconj. Injection	Procedure: Blepharoptosis Repair	"
NCT02957669	"Behavioral: Practice Self-Regulation	Behavioral: Therapy Practice Group	"
NCT02957253	"Other: risk factors	Other: self-care	Other: nutrition	Other: lifestyle	Other: psychosocial needs	Other: Nurse-led clinic	"
NCT02940028	"Behavioral: Expressive writing	Behavioral: Control writing	"
NCT02874443	"Other: Knowledge Translation of labor management guidelines	"
NCT02871349	"Drug: Propranolol	Drug: Placebo	Device: Magnetic Resonance Imaging (MRI)	"
NCT02852213	"Drug: AAV2-hAADC	"
NCT02845336	"Drug: Celecoxib	Drug: artificial tears	"
NCT02811627	"Drug: Memantine	Device: Magnetic Resonance Imaging	"
NCT02808507	"Other: Active TB case finding	"
NCT02690259	"Procedure: Sentinel node procedure	"
NCT02651402	"Behavioral: FRIENDS for Life	Behavioral: Adapted FRIENDS	Behavioral: Train-the-Trainer	Behavioral: Train-the-Trainer Plus	"
NCT02624765	"Drug: Digoxin (monotherapy)	Drug: Sotalol (monotherapy)	Drug: Flecainide (monotherapy)	Drug: Digoxin (dual therapy)	Drug: Sotalol (dual therapy)	Drug: Flecainide (dual therapy)	"
NCT02613650	"Drug: MEK162 and mFOLFIRI	"
NCT02606045	"Drug: recombinant von Willebrand factor	Drug: tranexamic acid	"
NCT02599480	"Drug: mirabegron	Procedure: Echocardiography	Procedure: Cardiac MRI	Procedure: Maximal exercise capacity	Procedure: Blood sampling	Procedure: Endothelial function measurement	Radiation: 18FDG-PET	"
NCT02587936	"Other: Collaborative Model of Primary care and Subspecialty care	"
NCT02458846	"Other: Crowded HOTV Acuity Test	Other: Preschool Randot Stereoacuity Test	Device: Plusoptix Autorefractor	Other: Comprehensive Eye Exam	"
NCT02428205	"Drug: Propranolol	Drug: Placebo	"
NCT02340650	"Device: Standard High Resolution Microendoscope and/or Line-Scanning Confocal High Resolution Microendoscope	"
NCT02278198	"Drug: rhTSH	"
NCT02259621	"Drug: Nivolumab	Drug: Ipilimumab	"
NCT02046694	"Drug: Allopurinol	"
NCT01964859	"Biological: autologous skin fibroblasts	"
NCT01247090	"Drug: Vasopressin - Very Low Dose	Drug: Vasopressin - Low Dose	Drug: Placebo Comparator	"
NCT01042015	"Combination Product: Emergency preservation and resuscitation	Other: Standard resuscitation	"
NCT00870064	"Procedure: Formal Operative Treatment	Procedure: Emergency Department Treatment	"
NCT03799094	"Drug: Vitamin C	Drug: Tyrosine kinase inhibitor	"
NCT03607630	"Other: Imagery Rescripting	"
NCT03423342	"Dietary Supplement: nicotinamide riboside	Drug: Placebo	"
NCT03360929	"Drug: AZD3759	"
NCT03292731	"Drug: Hydroxyprogesterone 250 Mg	Drug: hydroxyprogesterone 500mg	"
NCT03275870	"Drug: Hydroxychloroquine	"
NCT03104426	"Drug: Darbepoetin Alfa	"
NCT03753802	"Other: Chest Physiotherapy	Other: Surveillance	"
NCT03630549	"Other: Standard of Care	Other: Village-based ART refill	"
NCT03241732	"Other: Anti-inflammatory Diet	Dietary Supplement: N-acetyl Cysteine	"
NCT03032601	"Dietary Supplement: N-acetyl Cysteine	"
NCT03466528	"Drug: Magnesium Sulfate	Drug: Pabrinex	"
NCT03463252	"Drug: Progesterone	Device: Mirena®	Drug: GnRH agonist	"
NCT03829956	"Device: Intraoral tongue stimulator (Snoozeal)	"
NCT03827616	"Radiation: Hypofractionated IMRT using helical Tomotherapy.	"
NCT03808207	"Other: Dietary counseling and DHA dietary increase in breastfeeding mothers	"
NCT03795740	"Diagnostic Test: 3-D CT scanning	"
NCT03787615	"Device: sipIT tools	"
NCT03781596	"Diagnostic Test: Retrospective evaluation of endoscopy prior to study drug	Other: Symptom Survey	Other: Medication Compliance Phone Call	Diagnostic Test: Endoscopy while on study drug	Drug: Fluticasone	Drug: Omeprazole	Drug: Placebo oral capsule	"
NCT03771534	"Drug: Oxygen gas	"
NCT03770455	"Drug: Avelumab	Drug: 2nd generation ADT (abiraterone or enzalutamide)	"
NCT03766503	"Other: Daily	"
NCT03762239	"Other: Purifying the air with a Pure Airbox device (Zonair 3D)	Other: Using a sham air purifier (same device without filters)	"
NCT03761264	"Drug: Odontopaste®	Drug: Pulpdent	Drug: Amoxicillin	"
NCT03757572	"Other: Alginate dressings	Other: Simple gauze dressings	"
NCT03754322	"Diagnostic Test: LAMP	Diagnostic Test: Microscopy	"
NCT03744780	"Behavioral: ACT Workshop for Emotional Eating	"
NCT03737370	"Drug: Docetaxel	Radiation: Radium 223	"
NCT03735537	"Drug: Teriparatide Pen Injector	Drug: Zoledronic Acid	"
NCT03714282	"Device: Noninvasive spinal stimulation with gait training	"
NCT03704116	"Behavioral: Expedition	"
NCT03702465	"Other: DNA-based dietary intervention	Other: DNA-based dietary intervention using an app	Other: Control arm	"
NCT03701113	"Dietary Supplement: Milk-based protein matrix (MBPM)	Dietary Supplement: Habitual dietary behaviour	"
NCT03699397	"Diagnostic Test: Dry electrode EEG	"
NCT03698591	"Device: Transcranial magnetic stimulation task	Device: Sham transcranial magnetic stimulation task	"
NCT03694496	"Behavioral: peer-led theory-based intervention group	"
NCT03692715	"Drug: Ciprofloxacin	Drug: Placebo	"
NCT03685461	"Other: Electrocochleography	"
NCT03680248	"Dietary Supplement: Fat	Dietary Supplement: Fasting	Dietary Supplement: Fat+Glucose	Dietary Supplement: Glucose	Dietary Supplement: Fat+Fructose	Dietary Supplement: Fructose	"
NCT03678506	"Drug: Apixaban	"
NCT03675165	"Behavioral: Best Possible Self	"
NCT03661385	"Drug: Nitric Oxide	"
NCT03654131	"Device: MWA	Radiation: SBRT	"
NCT03644381	"Other: Oral Immunotherapy	"
NCT03637413	"Dietary Supplement: Hindmilk	"
NCT03636724	"Behavioral: E-intervention	"
NCT03633682	"Behavioral: Headspace - Meditation and Mindfulness App	Behavioral: Stop, Breathe, & Think - Meditation and Mindfulness App	"
NCT03632447	"Device: Leva	Device: PFDx	"
NCT03631979	"Other: Intestinal lavage with normal saline	"
NCT03631030	"Device: Cooled radiofrequency ablation	"
NCT03629145	"Behavioral: Live Music Therapy	Behavioral: Recorded Music Therapy	"
NCT03625011	"Drug: Gabapentin	"
NCT03607461	"Device: Smartphone App	Combination Product: Control Group	"
NCT03603015	"Diagnostic Test: Penile cuff test	"
NCT03594474	"Other: Intravenous lipid emulsion	"
NCT03589378	"Procedure: PEAF	"
NCT03586219	"Behavioral: Opioid-specific educational patient pamphlets	"
NCT03570424	"Dietary Supplement: Nutrient support to HIIT	Dietary Supplement: Placebo	"
NCT03563690	"Other: treatment1	Other: treatment2	Other: treatment3	Other: treatment4	Other: treatment5	Drug: Celebrex	"
NCT03560063	"Procedure: Corin Optimised Positioning System	Procedure: Standard templating	"
NCT03553862	"Behavioral: collaborative care	"
NCT03550495	"Behavioral: psychiatry involvement	"
NCT03538860	"Behavioral: Active comparator: Human interpreter	Behavioral: Intervention: Asynchronous Telepsychiatry	"
NCT03536858	"Behavioral: COACH (Communicating about Choices in Transplantation)	"
NCT03526458	"Device: Holmium:YAG laser	"
NCT03516396	"Behavioral: Training Plus	Behavioral: Training Only	Behavioral: No Inputs then Community development and training	"
NCT03502005	"Drug: bictegravir/emtricitabine/tenofovir alafenamide	"
NCT03494231	"Drug: HLX06	"
NCT03493126	"Drug: Estradiol	Other: Placebo	"
NCT03489850	"Drug: Ibudilast	Other: Placebo	"
NCT03488602	"Behavioral: F-SPS+UC	Behavioral: EUC	"
NCT03483740	"Behavioral: CRGT	Behavioral: HIV group therapy	"
NCT03478501	"Behavioral: Decision Aid	"
NCT03474978	"Device: Peripherally Inserted Central Venous Cather (PICC)	"
NCT03474666	"Procedure: Strict Glycemic Control Group	Procedure: Standard Glycemic Control Group	"
NCT03474432	"Device: Optical Coherence Tomography	"
NCT03471637	"Other: Compassion-Focused Therapy	"
NCT03467724	"Device: fractional radiofrequency	"
NCT03464851	"Diagnostic Test: Carotid Stenotic Scan (CSS)	"
NCT03462979	"Device: Immunochromatographic lateral flow test	"
NCT03462459	"Drug: Vancomycin	Drug: Placebo	"
NCT03461016	"Behavioral: Exposure Therapy	"
NCT03461003	"Other: NICHE method	Other: Usual care	Drug: Amlodipine	Drug: Lisinopril	Drug: Hydrochlorothiazide	Drug: Losartan	"
NCT03455985	"Other: Discharge Order Set (DOS)	Other: Enhanced Standard Care (ESC)	"
NCT03453398	"Other: Shifts working hours with different schedules	"
NCT03453359	"Device: BIS monitor	Device: Ramsay scale	"
NCT03442114	"Behavioral: Hydroxyurea SDM Toolkit	Behavioral: Clinician Pocket Guide	"
NCT03440645	"Other: Family-oriented primary cardiovascular prevention	"
NCT03431467	"Device: Impella-CP LV Vent	"
NCT03429439	"Other: intestinal microbiota transplant	Drug: Antiviral Agents	"
NCT03422848	"Dietary Supplement: Water	Behavioral: general life style advice	"
NCT03418649	"Drug: Eplerenone 50 Mg Tab	Drug: Placebo Oral Tablet	"
NCT03413332	"Other: E-Talkcare	Other: Usual Care	"
NCT03406767	"Other: GLA:D Canada Program	Other: JointEffort Program	"
NCT03405493	"Behavioral: Wake and Light Therapy	Behavioral: Sleep and Light Therapy	"
NCT03395301	"Device: Coil	"
NCT03387618	"Diagnostic Test: Digital PET/CT imaging	"
NCT03382106	"Drug: Sildenafil 20 MG	Drug: Placebo Oral Tablet	"
NCT03380169	"Other: Prophylactic advance wound dressing	Other: Prophylactic conventional wound dressing	"
NCT03377946	"Biological: probiotics	Biological: placebo	"
NCT03377088	"Other: Rose oil	Other: Almond Oil	"
NCT03373734	"Device: Enjoy Your Bump	"
NCT03372707	"Diagnostic Test: Cuff Leak Test	"
NCT03366805	"Behavioral: Pain Management Patient Education Video	Behavioral: Wound Care Patient Education Video	"
NCT03360279	"Device: Regular balloon	Device: DCB (paclitaxel-coated balloon)	"
NCT03359447	"Drug: Weekly Ferrous Sulfate	Drug: Daily Ferrous Sulfate	"
NCT03354572	"Drug: Acetyl cysteine	Drug: Placebos	"
NCT03348605	"Device: Phantom Stimulator, Cort X Sensorics, Spaichingen, Germany	"
NCT03345615	"Diagnostic Test: 30-day ambulatory cardiac event monitor	"
NCT03340818	"Other: Bone Marrow Concentrate	Other: Placebo	"
NCT03340051	"Behavioral: Episodic Future Thinking (EFT)	Behavioral: Episodic Recent Thinking (ERT)	"
NCT03337217	"Procedure: Position during colonoscopy	"
NCT03331965	"Drug: Metoclopramide 5 MG/ML Injectable Solution	Drug: Saline	"
NCT03330509	"Other: SPARK intervention	"
NCT03327844	"Drug: RET using antibiotics (Ciprofloxacin and Metronidazole)	Drug: RET using non-setting Calcium Hydroxide	"
NCT03324659	"Behavioral: Exercise and Meditation	Behavioral: Control	"
NCT03324516	"Procedure: Re-Suspension of the temporal muscle after a craniotomy.	Procedure: Traditional re-suspension of the temporal muscle	"
NCT03324009	"Diagnostic Test: 2-stage screen	"
NCT03307070	"Behavioral: Cognitive Behavioral Therapy for individuals with TBI	Other: Waitlist Control	"
NCT03303053	"Drug: Cholestyramine Powder 4g	Drug: Prednisolone	Drug: Standard treatment	"
NCT03302572	"Other: Brief information group	"
NCT03301831	"Behavioral: Resourcefulness Training	"
NCT03298997	"Procedure: Ligation and Hemorrhoidopexy	Procedure: Ultrasound Guided Ligation of Hemorrhoidal Arteries	"
NCT03297151	"Dietary Supplement: CONTROL	Dietary Supplement: Whey Protein Concentrate	Dietary Supplement: Whey Protein Hydrolysate	"
NCT03275896	"Other: Descemet Membrane Transplantation	"
NCT03274518	"Device: Expanded Hemodialysis	Device: Online Hemodiafiltration	"
NCT03273699	"Device: Mindfulness	"
NCT03256461	"Behavioral: Lactate clearance 10% target group	Behavioral: Lactate clearance 20% target group	Behavioral: Standard EGDT group	"
NCT03245853	"Drug: Riboflavin 5'-Phosphate	"
NCT03239808	"Procedure: Incremental haemodialysis	Procedure: Conventional haemodialysis	"
NCT03238768	"Other: Enhanced Intravenous Nutrition	Other: Standard Intravenous Nutrition	"
NCT03235739	"Drug: Naloxegol 25 MG	Drug: Placebo	"
NCT03234569	"Procedure: sonoHSG	"
NCT03230890	"Device: HIRREM	"
NCT03230656	"Other: Early cognitive-communication therapy	"
NCT03227614	"Behavioral: Support Person Intervention	"
NCT03196349	"Drug: Warfarin	Drug: Apixaban 2.5 MG	Drug: Rivaroxaban 10 MG	"
NCT03192020	"Procedure: Percutaneous needle fasciotomy	Drug: Collagenase Clostridium Histolyticum 2.9 MG/ML [Xiaflex]	Procedure: Limited fasciectomy	"
NCT03036592	"Behavioral: Early OGTT	Behavioral: Late OGTT	"
NCT02948023	"Biological: Ex-vivo cultivated limbal stem cell pool	"
NCT02814123	"Other: 24-hour inpatient intervention	"
NCT02724163	"Drug: Gemtuzumab ozogamicin	Drug: Liposomal daunorubicin	Drug: Mitoxantrone	Drug: Fludarabine	Drug: Cytarabine	Drug: Busulfan	Drug: Cyclophosphamide	"
NCT02479100	"Diagnostic Test: Contrast Enhanced Spectral Mammogram	"
NCT03799237	"Other: GOS trap and dengue NS1 antigen kit	"
NCT03759795	"Behavioral: ACTr (Acceptance and Commitment Training)	"
NCT03750409	"Device: Helmet	"
NCT03736031	"Behavioral: Intervention (Promotora)	"
NCT03726437	"Behavioral: RealConsent	Behavioral: Stress and Mood Management	"
NCT03706014	"Behavioral: SIBS Program	Behavioral: Control	"
NCT03695679	"Behavioral: Interactive computer-based intervention	"
NCT03669432	"Radiation: Intensity Modulated Radiotherapy	Procedure: Surgery alone	"
NCT03658941	"Procedure: No dural tenting techniques	Procedure: Dural tenting techniques	"
NCT03657212	"Drug: Zolpidem	"
NCT03648086	"Other: intestinal microbiota transplantation	"
NCT03647449	"Dietary Supplement: Juice	Behavioral: Caloric restriction via Plant-based meals	Dietary Supplement: Plant-based meal	"
NCT03635775	"Device: Active tDCS	Device: Sham tDCS	"
NCT02029937	"Drug: Proflavine, high resolution imaging	"
NCT03593356	"Behavioral: Cash Gift Payments	"
NCT03588806	"Drug: Xtampza ER (oxycodone)	"
NCT03588572	"Drug: Venlafaxine hydrochloride capsules	"
NCT03574376	"Drug: Bupivacaine Liposome Injection	Drug: Bupivacaine	"
NCT03551860	"Procedure: TQL	Procedure: FIB	"
NCT03532360	"Other: Oral immunotherapy	"
NCT03526484	"Behavioral: Standard of Care	Behavioral: Experimental	"
NCT03523000	"Other: Continuous intrathecal prognostic infusion test	"
NCT03522974	"Dietary Supplement: Strawberry powder	Dietary Supplement: Placebo powder	"
NCT03522337	"Other: Visual pedagogy (social stories)	Other: Conventional leaflets	"
NCT03518255	"Other: Nature video	"
NCT03517852	"Device: Human Intravital Microscopy	"
NCT03511443	"Diagnostic Test: hsRDT	"
NCT03505658	"Behavioral: Education and Behavior	"
NCT03500172	"Behavioral: DTP	Behavioral: ICM	"
NCT03481296	"Behavioral: Advanced Control	Behavioral: Culturally-Adapted Decision Support Navigation Intervention	"
NCT03454308	"Behavioral: SMASH	Behavioral: Enhanced SC	"
NCT03437876	"Other: intestinal microbiota transplant	"
NCT03435588	"Procedure: EUS	Procedure: FNA with ROSE	Procedure: FNB alone	"
NCT03426683	"Other: Intestinal Microbiota Transplantation	"
NCT03422159	"Drug: Ascorbic Acid	Drug: Thiamine	Drug: Hydrocortisone	Drug: Sodium Chloride 0.9%	"
NCT03420846	"Other: OCT Mapped	"
NCT03383731	"Procedure: Group 1	Procedure: Group 2	"
NCT03376685	"Behavioral: Endurance Exercise Training (END)	Behavioral: Sprint Exercise Training (SIT)	Behavioral: Combined Endurance-Sprint Exercise Training (COMB)	"
NCT03376100	"Procedure: Ultrasound guided nerve blocks	Procedure: Hematoma Block	"
NCT03365609	"Drug: triple therapy	Drug: sequential therapy	Drug: bismuth quadruple therapy	Drug: concomitant therapy	"
NCT03360968	"Procedure: Variable-PS	Procedure: SPN-CPAP/PS	"
NCT03343431	"Drug: Anti-HBV antiviral prophylaxis	"
NCT03340103	"Dietary Supplement: LUTEIN ofta 0,5 gocce	Drug: Placebo	"
NCT03338374	"Device: Biventricular pacemaker	"
NCT03337971	"Dietary Supplement: PLACEBO	Dietary Supplement: MBPM	"
NCT03336372	"Drug: Picato	"
NCT03326934	"Dietary Supplement: Dark chocolate	Dietary Supplement: Milk Chocolate	"
NCT03306173	"Other: Commercially available cigarette	"
NCT03287635	"Drug: Corticotropin 80Unit/Ml Repository Injection	"
NCT03265574	"Drug: Enalapril	"
NCT01785719	"Behavioral: Commercial Weight Loss Program	"
NCT03232554	"Drug: Buxue Yimu Pills	Drug: Buxue Yimu Pills &Ferrous Sulfate	Drug: Ferrous Sulfate	"
NCT01739933	"Drug: Dexmedetomidine	Drug: Propofol	"
NCT03085784	"Drug: Aflibercept	"
NCT03083366	"Device: PrimeAdvanced Surescan 97702 Neurostimulator - Medtronic (Minneapolis, MN)	"
NCT03009539	"Behavioral: eHealth Familias Unidas Primary Care	"
NCT02744768	"Drug: Dasatinib	Drug: Blinatumomab	"
NCT01447628	"Drug: Saline	Drug: Ferinject or CosmoFer	"
NCT02188121	"Drug: Simvastatin	Drug: Losartan	"
NCT03740243	"Drug: Buprenorphine/naloxone	Drug: Buprenorphine	"
NCT03629496	"Other: Arts-based intervention	"
NCT03622437	"Behavioral: Patient-led follow-up	Other: Standard follow-up	"
NCT03616639	"Drug: Oxycodone	Drug: Morphine	"
NCT03564080	"Other: Combined - PAD and CAD	"
NCT03544853	"Device: Prosthetic socket for transtibial amputee	"
NCT03543774	"Drug: Simvastatin 40mg	Drug: Ezetimibe/simvastatin 10/20 mg/day	Drug: Ezetimibe/simvastatin 10/40 mg/day	"
NCT03519568	"Biological: EV71 (inoculation vaccine)	"
NCT03519087	"Other: Interdisciplinary Evaluation for Nonarthritic Hip Disease	Other: Posture and Movement Training	Other: Treatment-of-choice	"
NCT03440099	"Other: Resistance exercise training	"
NCT03437811	"Device: Electro Flo Percussor, Model 5000	"
NCT03423095	"Behavioral: Active Jaw Exercise with Relaxation	Behavioral: Active Tongue Exercise	Behavioral: Active Tongue Exercise + Mental Practice	Behavioral: Mental Practice Tongue Exercise	"
NCT03406039	"Behavioral: Integrated Online CBT and MI	"
NCT03397277	"Behavioral: Safety behaviour promoting video	Behavioral: Control video	"
NCT03375580	"Dietary Supplement: TLC	Drug: metformin	Drug: Compound Zhenzhu Tiaozhi capsule	Drug: Simvastatin	"
NCT03373240	"Behavioral: TAU plus Cognitive Remediation Program	Behavioral: TAU plus Control Tasks	"
NCT03369145	"Dietary Supplement: High-fat diet	"
NCT03337581	"Drug: Dexmedetomidine	"
NCT03335722	"Behavioral: Metronome-timed speech	Device: Active tDCS	Device: Sham tDCS	"
NCT03333473	"Behavioral: PPFP Clinical and Counseling Skills	Behavioral: Facility-Level Leadership Management and Governance Training	"
NCT03331978	"Behavioral: Rise - Treatment Education	"
NCT03255707	"Device: eye patch	Device: dichoptic treatment	"
NCT03208530	"Behavioral: Brief motivational interview intervention	"
NCT02781064	"Drug: Atorvastatin 20mg	Drug: Placebo	"
NCT03664934	"Other: Exercises	"
NCT03584490	"Other: Computerized Talking Touchscreen	"
NCT03558828	"Behavioral: Step 1: PA Monitor	Behavioral: Step 1: PA Monitor + Text	Behavioral: Step 2: PA Monitor with Calls	Behavioral: Step 2: PA Monitor with Meetings	Behavioral: Step 2: PA Monitor + Texts with Calls	Behavioral: Step 2: PA Monitor + Texts with Meetings	Behavioral: Step 3: PA Monitor	"
NCT03556371	"Drug: N-Acetylcysteine	Drug: Placebo oral capsule	"
NCT03529981	"Other: Guided mindfulness meditation	Other: Tuned Vibroacoustic Stimulation (TVS)	"
NCT03422562	"Dietary Supplement: Florababy	"
NCT03394495	"Other: BCE Combination group	"
NCT03304444	"Drug: Bupivacaine	Drug: liposomal bupivacaine	"
NCT03686748	"Behavioral: Two-point discrimination training	Behavioral: One-point discrimination training	"
NCT02018367	"Drug: Proflavine, high resolution imaging	"
NCT03538418	"Other: WAT	"
NCT03397160	"Behavioral: Decision Support Intervention (DSI)	"
NCT03388970	"Drug: Vitamin K 1	Drug: normal saline	"
NCT03376854	"Device: Hypothermia	Device: Standard of Care	"
NCT03234543	"Procedure: Remote ischemic conditioning	Procedure: No Remote ischemic conditioning	"
NCT03230942	"Other: Pre-operative education	Other: Pos-operative rehabilitation	"
NCT02982772	"Other: Combination Therapy	Other: Standard Care Intervention	"
NCT02529644	"Behavioral: Taking It to the Pews (Comparison)	Behavioral: Taking It to the Pews (Experimental)	"
NCT03326596	"Drug: Tranexamic Acid 1000 mg/10ml normal saline infusion	"
NCT03543644	"Other: Sugar-sweetened beverage (SSB)	Other: Non-nutritive sweetened beverages (NSB)	Other: Water	"
NCT03507400	"Behavioral: Introvision: mental and emotional self-regulation	"
NCT03286153	"Other: Ideal Body Weight First	Other: Actual Body Weight First	"
