NCT03769298	"Kidney Pancreas Transplantation	"
NCT02651402	"Anxiety Disorders	"
NCT02624765	"Fetal Atrial Flutter Without Hydrops	Fetal Supraventricular Tachycardia Without Hydrops	Fetal Supraventricular Tachycardia With Hydrops	"
NCT02613650	"Advanced KRAS Positive Metastatic Colorectal Cancer	"
NCT02606045	"Type 1 Von Willebrand Disease	"
NCT02599480	"Hypertrophy, Left Ventricular	"
NCT02587936	"Chronic Kidney Disease	Diabetes	Hypertension	High BP	Type 2 Diabetes	"
NCT02458846	"Amblyopia	"
NCT02428205	"Autism	"
NCT02340650	"Bladder Cancer	"
NCT02278198	"Differentiated Thyroid Cancer	"
NCT02259621	"Non-Small Cell Lung Cancer	"
NCT02046694	"Acute Lymphoblastic Leukemia (ALL)	"
NCT01964859	"Wounds and Injuries	"
NCT01247090	"Hypertension	End Stage Renal Disease	"
NCT01042015	"Cardiac Arrest From Trauma	"
NCT00870064	"Fractures, Open	"
NCT03799094	"Carcinoma, Non-Small-Cell Lung	"
NCT03607630	"Psychosis	"
NCT03423342	"Heart Failure, Systolic	"
NCT03360929	"Non Small Cell Lung Cancer	"
NCT03292731	"Preterm Birth	"
NCT03275870	"Hidradenitis Suppurativa	Hidradenitis	Acne Inversa	Boils	Follicular Occlusion Triad	Follicular Occlusion Tetrad	"
NCT03104426	"Erythroblastosis, Fetal	Erythroblastosis Fetalis, Rh Disease	Erythroblastosis Fetalis Due to RH Antibodies	Erythroblastosis Fetalis Due to Isoimmunization	"
NCT03753802	"Acute Bronchiolitis	"
NCT03630549	"HIV/AIDS	"
NCT03241732	"Chronic Traumatic Brain Injury	"
NCT03032601	"Multiple Sclerosis	"
NCT03466528	"Alcohol Withdrawal	Lactic Acidosis	Vitamin B1 Deficiency	Magnesium Deficiency	Wernicke Encephalopathy	"
NCT03463252	"Endometrial Cancer	Atypical Endometrial Hyperplasia	"
NCT03829956	"Snoring	Obstructive Sleep Apnea	"
NCT03827616	"Prostatic Neoplasms	Genital Neoplasms	"
NCT03808207	"Breastfeeding	Human Milk	Diet Habit	Fatty Acid	Infant Growth	"
NCT03795740	"Chronic Thromboembolic Pulmonary Hypertension	Pulmonary Embolism	"
NCT03787615	"Urolithiasis	"
NCT03781596	"Eosinophilic Esophagitis	"
NCT03771534	"TGA - Transposition of Great Arteries	"
NCT03770455	"Metastatic Castration-resistant Prostate Cancer	"
NCT03766503	"Medication Adherence	"
NCT03762239	"Attention Impaired	Risk-Taking	Risk Behavior	Social Preferences	Decision Making	Attention	"
NCT03761264	"Dentoalveolar Abscess	"
NCT03757572	"Pilonidal Cyst/Fistula	"
NCT03754322	"Malaria	Pregnancy Malaria	Malaria in Pregnancy	"
NCT03744780	"Emotional Eating	Eating Behavior	"
NCT03737370	"Metastatic Castrate Resistant Prostate Cancer	"
NCT03735537	"Osteogenesis Imperfecta	"
NCT03714282	"Stroke	"
NCT03704116	"Traumatic Brain Injury	"
NCT03702465	"Pre Diabetes	"
NCT03701113	"Bone and Bones	Osteoporosis Risk	Osteoporosis, Postmenopausal	"
NCT03699397	"Stroke, Ischemic	"
NCT03698591	"Emotion Regulation	Real Versus Sham Transcranial Magnetic Stimulation (TMS)	"
NCT03694496	"Caries, Dental	Periodontal Diseases	"
NCT03692715	"Ureteral Stones	Ureteral Calculi	Nephrolithiasis	"
NCT03685461	"Hearing Loss	Cochlear Implant	"
NCT03680248	"Hepatic Fat Content	"
NCT03678506	"Venous Thromboembolism	Anticoagulants	"
NCT03675165	"Diabetes Mellitus, Type 2	"
NCT03661385	"Low Cardiac Output Syndrome	Transposition of Great Vessels	"
NCT03654131	"Colorectal Carcinoma	Liver Metastases	"
NCT03644381	"Cow Milk Allergy	"
NCT03637413	"Weight Gain	"
NCT03636724	"Cardiac Rehabilitation	Physical Activity	Fruit and Vegetable Intake	"
NCT03633682	"Depression	Anxiety	"
NCT03632447	"Stress Urinary Incontinence	Mixed Urinary Incontinence	"
NCT03631979	"Necrotizing Enterocolitis	Time to Full Enteral Nutrition	"
NCT03631030	"Arthritis;Lumbosacral	Osteo Arthritis Knee	Sacroiliitis	Hip Osteoarthritis	Arthritis, Degenerative	"
NCT03629145	"Respiratory Syncytial Virus Infections	"
NCT03625011	"Tonsillitis	Tonsillectomy	"
NCT03607461	"Total Knee Arthroplasty	"
NCT03603015	"Lower Urinary Tract Symptoms	"
NCT03594474	"Very Low Birth Weight Infant	"
NCT03589378	"Septic Shock	Multiple Organ Dysfunction Syndrome	"
NCT03586219	"Pelvic Organ Prolapse	"
NCT03570424	"Muscle, Skeletal	High-Intensity Interval Training	Exercise	"
NCT03563690	"Knee Osteoarthritis	"
NCT03560063	"Osteoarthritis, Hip	Osteoarthritis	Arthritis	Musculoskeletal Diseases or Conditions	"
NCT03553862	"Type2 Diabetes	"
NCT03550495	"Delirium	"
NCT03538860	"Mood Disorder	Anxiety Disorder	Substance Use Disorder	Chronic Medical Condition	"
NCT03536858	"End Stage Renal Disease	Living Donor Kidney Transplantation	Renal Dialysis	"
NCT03526458	"Stone Ureter	Stone;Renal	Surgery	"
NCT03516396	"Malnutrition	"
NCT03502005	"Human Immunodeficiency Virus	"
NCT03494231	"Solid Tumor, Adult	"
NCT03493126	"Vaginal Atrophy	"
NCT03489850	"Alcohol Use Disorder	"
NCT03488602	"Suicide	Suicide, Attempted	Suicidal Ideation	"
NCT03483740	"HIV/AIDS	Aging	Mild Cognitive Impairment	Group, Peer	"
NCT03478501	"Suicide	Emergencies	"
NCT03474978	"Catheterization, Peripheral	"
NCT03474666	"Liver Transplantation	Surgical Wound Infection	"
NCT03474432	"Percutaneous Coronary Intervention	Optical Coherence Tomography	In-stent Coronary Artery Restenosis	"
NCT03471637	"Chronic Pain	Psychological Distress	"
NCT03467724	"Surgical Scar	Breast Augmentation	Abdominoplasty	Face Lift	"
NCT03464851	"Carotid Artery Stenosis	"
NCT03462979	"Celiac Disease	Gluten Sensitivity	Gluten Enteropathy	Gastrointestinal Disease	Digestive System Disease	Diet Modification	Intestinal Disease	Malabsorption Syndromes	Patient Compliance	Diagnostic Self Evaluation	Quality of Life	"
NCT03462459	"Recurrent Clostridium Difficile Infection	Clostridium Difficile Infection	"
NCT03461016	"Phobic Disorders	Dental Anxiety	Treatment Outcome	"
NCT03461003	"Pediatric Hypertension	"
NCT03455985	"Diabetes Mellitus, Type 2	Patient Discharge	Blood Glucose, Low	Blood Glucose, High	"
NCT03453398	"Shift Work Type Circadian Rhythm Sleep Disorder	Chronobiology Disorders	Mood Swing	Physical Activity	Cardiovascular Diseases	"
NCT03453359	"Colonoscopy	"
NCT03442114	"Sickle Cell Anemia	Children, Only	"
NCT03440645	"Cardiovascular Risk Factor	"
NCT03431467	"Cardiogenic Shock	"
NCT03429439	"Chronic Hepatitis b	"
NCT03422848	"Glucose, High Blood	"
NCT03418649	"Degenerative Intervertebral Discs	Sciatic Radiculopathy	Low Back Pain	"
NCT03413332	"Breast Cancer	"
NCT03406767	"Osteoarthritis, Knee	"
NCT03405493	"Depression	Depressive Disorder, Major	Depression, Unipolar	Depression Moderate	"
NCT03395301	"Hydrosalpinx	"
NCT03387618	"New-generation Digital PET/CT Imaging	"
NCT03382106	"Emphysema	"
NCT03380169	"Surgical Site Infection	"
NCT03377946	"Type 2 Diabetes Mellitus	"
NCT03377088	"Back Pain	Back Pain, Low	Sciatica	"
NCT03373734	"Perinatal Mental Health	Antenatal Depression	Antenatal Anxiety	"
NCT03372707	"Laryngeal Edema	"
NCT03366805	"Analgesics, Opioid	Orthopedic Surgery	Ambulatory Surgery	Education, Patient	Injuries and Wounds	"
NCT03360279	"Hemodialysis Access Failure (Disorder)	Stent-Graft Restenosis	Arteriovenous Graft	Drug-coated Balloon	"
NCT03359447	"Anemia	Iron-deficiency	"
NCT03354572	"Postoperative Pain	"
NCT03348605	"Lower Limb Amputation Below Knee (Injury)	"
NCT03345615	"Atrial Fibrillation New Onset	Myocardial Infarction	"
NCT03340818	"Discogenic Pain	"
NCT03340051	"Alcohol Dependence	Alcohol-Related Disorders	"
NCT03337217	"Obesity	"
NCT03331965	"Radiation Exposure	Enteral Nutrition	"
NCT03330509	"Health Services Research	"
NCT03327844	"Infected Immature Permanent Teeth	"
NCT03324659	"Chronic Low Back Pain	"
NCT03324516	"Temporal Wasting	"
NCT03324009	"Cervical Cancer	HIV/AIDS	"
NCT03307070	"Major Depressive Disorder	Traumatic Brain Injury	"
NCT03303053	"Hyperthyroidism	Graves Disease	"
NCT03302572	"Primary Care	Advance Directives	Randomized Controlled Trial	"
NCT03301831	"Depressive Symptoms	Multiple Chronic Conditions	Family Caregivers	"
NCT03298997	"Hemorrhoids	"
NCT03297151	"Resistance Training	Muscle Damage	"
NCT03275896	"Fuchs' Endothelial Dystrophy	"
NCT03274518	"Dialysis Related Complication	Dialysis Hypotension	Hemodialysis-Induced Symptom	"
NCT03273699	"Obsessive-Compulsive Disorder	"
NCT03256461	"Sepsis	"
NCT03245853	"Keratoconus	Keratoconus, Unstable	"
NCT03239808	"Renal Disease, End-Stage	"
NCT03238768	"Preterm Birth	"
NCT03235739	"Pain, Postoperative	"
NCT03234569	"Infertility, Female	"
NCT03230890	"Stress Disorders, Post-Traumatic	"
NCT03230656	"Concussion	Mild Traumatic Brain Injury	Cognitive Communication Disorder	"
NCT03227614	"Anxiety	Pain	Abortion	"
NCT03196349	"Venous Thromboembolism	"
NCT03192020	"Dupuytren Contracture	"
NCT03036592	"Non-Diabetic Disorder of Endocrine Pancreas	"
NCT02948023	"Corneal Injuries	Corneal Burns	Corneal Scars and Opacities	"
NCT02814123	"Diabetes Mellitus, Type 1	"
NCT02724163	"Acute Myeloid Leukaemia	"
NCT02479100	"Breast Cancer	"
NCT03799237	"Dengue	"
NCT03759795	"Effect of Training	"
NCT03750409	"Mild to Moderate Dementia	"
NCT03736031	"Palliative Care	"
NCT03726437	"Sexual Violence	"
NCT03706014	"Promotion of Positive Sibling Relationships	"
NCT03695679	"Safe Sex	"
NCT03669432	"Thyroid Cancer Stage IV	Radiation Toxicity	"
NCT03658941	"Epidural Hematoma	"
NCT03657212	"Aging	"
NCT03648086	"Non-alcoholic Fatty Liver Disease	"
NCT03647449	"Epigenetics	Microbiome	"
NCT03635775	"Cerebral Palsy	Perinatal Stroke	Periventricular Leukomalacia	"
NCT02029937	"Suspected or Known Squamous Cell Neoplasia	Prior History of Squamous Cell Dysplasia and /or Neoplasia	"
NCT03593356	"Child Development	Brain Development	Household and Family Processes	"
NCT03588806	"Chronic Pain	Opioid Use	Deglutition	"
NCT03588572	"Subcortical Aphasia	Ischemic Stroke	"
NCT03574376	"Trauma	Trauma Injury	Pain, Acute	"
NCT03551860	"Hip Replacement	"
NCT03532360	"Peanut Allergy	Tree Nut Allergy	"
NCT03526484	"Urinary Tract Infections	"
NCT03523000	"Lumbar Post-Laminectomy Syndrome	Chronic Low Back Pain	Vertebral Compression Fracture	Failed Back Surgery Syndrome	"
NCT03522974	"Cardiovascular Risk Factor	"
NCT03522337	"Intellectual Disability	Cerebral Palsy	Developmental Disorders	Developmental Delay	Autistic Spectrum Disorders	Down Syndrome	Epilepsy	Developmental Disability	Learning Disorders	"
NCT03518255	"Cancer	"
NCT03517852	"Peritoneal Carcinomatosis	"
NCT03511443	"Malaria Diagnosis	Malaria,Falciparum	"
NCT03505658	"Obesity	Childhood Obesity	Nutrient; Excess	Community Health Education	"
NCT03500172	"HIV-1 Virologic Response	"
NCT03481296	"Colorectal Cancer	"
NCT03454308	"Hypertension	Medication Non-Adherence	"
NCT03437876	"Cirrhosis, Liver	"
NCT03435588	"Solid Pancreatic Tumor	"
NCT03426683	"Inflammatory Bowel Disease(IBD)	"
NCT03422159	"Sepsis, Severe	Septic Shock	"
NCT03420846	"Carcinoma, Basal Cell	"
NCT03383731	"Macular Holes	Retinal Detachment	High Myopia	"
NCT03376685	"Pre-diabetes	Obesity	Cardiovascular Diseases	"
NCT03376100	"Fracture Closed of Lower End of Forearm, Unspecified	"
NCT03365609	"Helicobacter Infections	"
NCT03360968	"Mechanical Ventilation Complication	"
NCT03343431	"Hepatitis B	Pregnancy	"
NCT03340103	"Antioxidant Role of the Lutein in Preterm Newborn	"
NCT03338374	"Diastolic Heart Failure	"
NCT03337971	"Bone and Bones	Osteoporosis Risk	Osteoporosis, Postmenopausal	"
NCT03336372	"Molluscum Contagiosum	"
NCT03326934	"Dietary Supplementation	"
NCT03306173	"Substance-Related Disorders	"
NCT03287635	"Dry Eye Disease	"
NCT03265574	"Breast Cancer	"
NCT01785719	"Weight Loss	Anovulation	Amenorrhea	Infertility	"
NCT03232554	"Iron-Deficiency Anemia	"
NCT01739933	"Sepsis	Delirium	Impaired Cognition	"
NCT03085784	"Radiation Retinopathy	"
NCT03083366	"Spinal Cord Injury, Acute	Neurogenic Bladder	Incontinence	Urinary Tract Infections	"
NCT03009539	"Sexual Risk Behavior	Drug Use	Family Functioning	"
NCT02744768	"Acute Lymphoblastic Leukemia	"
NCT01447628	"Pulmonary Arterial Hypertension	Iron Deficiency	"
NCT02188121	"Serious Mental Illness	Schizophrenia	Schizoaffective Disorder	Bipolar Disorder	Cardiovascular Disease	Major Depressive Disorder	Psychosis NOS	"
NCT03740243	"Opioid-use Disorder	"
NCT03629496	"Feasibility Study	End Stage Renal Disease on Dialysis (Diagnosis)	"
NCT03622437	"Rectal Neoplasms	"
NCT03616639	"Pain	Terminal Illness	Renal Impairment	"
NCT03564080	"Peripheral Arterial Disease	Cardiovascular Diseases	Intermittent Claudication	Coronary Artery Disease	"
NCT03544853	"Amputation Stump	"
NCT03543774	"Hypercholesterolemia	Chronic Kidney Diseases	"
NCT03519568	"Enterovirus 71 Inactivated Vaccine	HFMD	"
NCT03519087	"Clinical Decision Making	Nonarthritic Hip Disease	"
NCT03440099	"Biological Aging	"
NCT03437811	"Cystic Fibrosis, Pulmonary	"
NCT03423095	"Dysphagia	"
NCT03406039	"Alcohol Use Disorder	"
NCT03397277	"Intimate Partner Violence	"
NCT03375580	"Nonalcoholic Fatty Liver Disease	"
NCT03373240	"Drug Use Disorders	"
NCT03369145	"Insulin Resistance	Type2 Diabetes Mellitus	Non-Alcoholic Fatty Liver Disease	Obesity	"
NCT03337581	"Pediatrics	Dexmedetomidine	Pharmacodynamics	Pharmacokinetics	"
NCT03335722	"Stuttering, Developmental	"
NCT03333473	"Post-pregnancy Family Planning	Capacity Building of Healthcare Providers	"
NCT03331978	"HIV/AIDS	"
NCT03255707	"Amblyopia	"
NCT03208530	"Emergency Service, Hospital	Motivational Interviewing	Advance Care Planning	"
NCT02781064	"Cardiovascular Disease	"
NCT03664934	"Whiplash Injuries	"
NCT03584490	"Health Literacy	"
NCT03558828	"Physical Activity	"
NCT03556371	"Cocaine-Related Disorders	"
NCT03529981	"Health Behavior	"
NCT03422562	"Microbial Colonization	"
NCT03394495	"Fatigue	"
NCT03304444	"Gynecologic Cancer	Post Operative Pain	"
NCT03686748	"Ehlers-Danlos Syndrome (EDS)	Complex Regional Pain Syndrome (CRPS)	Amplified Musculoskeletal Pain Syndrome (AMPS)	Low Back Pain	Fibromyalgia	Chronic Widespread Pain	"
NCT02018367	"Barrett's Esophagus	"
NCT03538418	"Frail Elderly	"
NCT03397160	"Decision Support Systems, Clinical	Prostate Cancer	"
NCT03388970	"Intracerebral Haemorrhage in Cerebellum	"
NCT03376854	"Respiratory Distress Syndrome, Adult	"
NCT03234543	"Laparotomy	Laparoscopy	Retroperitoneal Disease	Pelvis Disease	Pancreatic Diseases	Liver Diseases	Gastrointestinal Disease	Urologic Diseases	Complication of Surgical Procedure	"
NCT03230942	"Knee Arthropathy	"
NCT02982772	"Smoking Cessation	HIV	"
NCT02529644	"HIV	"
NCT03326596	"Postpartum Hemorrhage	"
NCT03543644	"Healthy	Overweight and Obesity	Metabolic Syndrome	PreDiabetes	Diabetes	Overweight	Obesity	Dysglycemia	Cardiovascular Diseases	Cardiovascular Risk Factor	Hypertension	"
NCT03507400	"Migraine	Chronic Migraine	"
NCT03286153	"Hemophilia A	"
